791,Luigi Anaclerio,ITA
792,Michele Anaclerio,ITA
793,Chrissovalantis Anagnostou,GRE
794,Joseph Anang,ENG
795,Luca Anania,ITA
796,Antonio Ananiev,BUL
797,Dmitri Ananko,RUS
798,Giuseppe Anastasi,ITA
799,Massimiliano Anastasi,
800,Valerio Anastasi,ITA
801,Arnaud Anastassowa,FRA
802,Carlo Ancelotti,ITA
803,Nicola Ancis,ITA
804,Jon Ander Garrido,ESP
805,Jon Ander Lambea,ESP
806,Jon Ander Serantes,ESP
807,Ingo Anderbrügge,GER
808,Dirk Anders,GER
809,Henrik Andersen,DEN
810,Joachim Andersen,DEN
811,Jørn Andersen,NOR
812,Niklas Andersen,GER
813,Søren Andersen,DEN
814,Stephan Andersen,DEN
815,Trond Andersen,NOR
816,Anderson,BRA
817,Anderson,BRA
818,Anderson,BRA
819,Bobley Anderson,CIV
820,Djavan Anderson,NED
821,Elliot Anderson,ENG
822,Felipe Anderson,BRA
823,Keshi Anderson,ENG
824,Myles Anderson,ENG
825,Russell Anderson,SCO
826,Sonny Anderson,BRA
827,Viv Anderson,ENG
828,Anders Andersson,SWE
829,Andreas Andersson,SWE
830,Bengt Andersson,SWE
831,Christoffer Andersson,SWE
832,Daniel Andersson,SWE
833,Kennet Andersson,SWE
834,Patrik Andersson,SWE
835,Sebastian Andersson,SWE
836,Darren Anderton,ENG
837,Florin Andone,ROU
838,Joaquín Andonegi,
839,Ion Andoni Goikoetxea,ESP
840,Gaël Andonian,ARM
841,Ivaylo Andonov,BUL
842,Federico Andrada,ARG
843,Bruno Andrade,POR
844,Andrés Andrade Cedeño,PAN
845,Elinton Andrade,BRA
846,Jorge Andrade,POR
847,José Antonio García Andrade,ESP
848,Nícolas Andrade,BRA
849,William Amaral de Andrade,BRA
850,Loïc Andraud,FRA
851,André,BRA
852,André,BRA
853,Benjamin André,FRA
854,Fredrik André Bjørkan,NOR
855,Tore André Flo,NOR
856,Joël André,FRA
857,Marcos André,BRA
858,Paulo André,BRA
859,Pierre-Yves André,FRA
860,David Andréani,FRA
861,Leon Andreasen,DEN
862,Ionuț Andrei Radu,ROU
863,Lorenzo Andrenacci,ITA
864,Marco Andreolli,ITA
865,Andrés,
866,Juan Andrés Gómez,ARG
867,Manuel Andrés Guijarro,
868,Miguel de Andrés,ESP
869,Martin Andresen,NOR
870,Lluis Andreu,ESP
871,Tony Andreu,FRA
872,Yoann Andreu,FRA
873,Ian Andrews,ENG
874,Keith Andrews,IRL
875,Wayne Andrews,ENG
876,Andrezinho,BRA
877,Komnen Andrić,SRB
878,Robert Andrich,GER
879,Stjepan Andrijašević,CRO
880,Genar Andrinúa,ESP
881,Michele Andrisani,ITA
882,Mariano Andújar,ARG
883,Yhoan Andzouana,CGO
884,Miodrag Anđelković,SRB
885,Siniša Anđelković,SVN
886,Nicolas Anelka,FRA
887,Cristian Anelli,ITA
888,Markus Anfang,GER
889,Victorien Angban,CIV
890,Benoît Angbwa,CMR
891,Ángel,ESP
892,Jesús Ángel Abad,
893,Juan Ángel Albín,URU
894,José Ángel Alonso,ESP
895,Miguel Ángel Angulo,ESP
896,Miguel Ángel Benítez,PAR
897,Miguel Ángel Correa,
898,José Ángel Crespo,ESP
899,Miguel Ángel España,ESP
900,Miguel Ángel Espínola,ESP
901,José Ángel Ferrera,ESP
902,José Ángel Gambín,
903,Miguel Ángel Guerrero,ESP
904,Miguel Ángel II,
905,José Ángel,ESP
906,José Ángel,
907,José Ángel,ESP
908,Jesús Ángel López,
909,Ángel Luis,ESP
910,Juan Ángel Madrigal,
911,Miguel Ángel Meneses,
912,Miguel Ángel,ESP
913,Miguel Ángel,ESP
914,Miguel Ángel,
915,Miguel Ángel Moyá,ESP
916,Miguel Ángel Nadal,ESP
917,Miguel Ángel Nieto,ESP
918,Miguel Ángel Ortiz,
919,Juan Ángel Ramos,
920,Joan Àngel Román,ESP
921,Miguel Ángel Rubio,ESP
922,Juan Ángel Seguro,MEX
923,Miguel Ángel Sola,ESP
